7531128,Drawsko,Drawsko,Drawsko,52.80051,16.01886,A,ADM3,PL,,86.0,3002.0,300203.0,,5869,,43,Europe/Warsaw,2018-08-21
7531129,Sieradz,Sieradz,Sieradz,51.60172,18.7384,A,ADM3,PL,,74.0,1014.0,101401.0,,42570,,132,Europe/Warsaw,2018-08-21
7531130,Dmosin,Dmosin,"Comuna de Dmosin,Dmosin,Gmina Dmosin,Дмосин,Ґміна Дмосін",51.89266,19.77458,A,ADM3,PL,,74.0,1021.0,102103.0,,4476,,171,Europe/Warsaw,2018-08-21
7531131,Zambrów,Zambrow,"Zambrow,Zambrów",52.99381,22.19316,A,ADM3,PL,,81.0,2014.0,201405.0,,8969,,131,Europe/Warsaw,2018-08-21
7531132,Jeżów,Jezow,"Jezow,Jeżów",51.79022,19.94577,A,ADM3,PL,,74.0,1021.0,102104.0,,3437,,181,Europe/Warsaw,2018-08-21
7531133,Czerniewice,Czerniewice,"Chernevice,Czerniewice,Черњевице",51.65175,20.17787,A,ADM3,PL,,74.0,1016.0,101604.0,,5118,,174,Europe/Warsaw,2018-08-21
7531134,Grabów,Grabow,"Grabow,Grabów",52.14452,19.01196,A,ADM3,PL,,74.0,1004.0,100404.0,,6055,,125,Europe/Warsaw,2018-08-21
7531135,Burzenin,Burzenin,"Burzenin,Buzhenin,Comuna de Burzenin,Gmina Burzenin,Gmina Buzhenin,Буженин,Ґміна Буженін",51.43871,18.77696,A,ADM3,PL,,74.0,1014.0,101405.0,,5521,,158,Europe/Warsaw,2018-08-21
7531136,Bukowina Tatrzańska,Bukowina Tatrzanska,"Bukovina-Tatshan'skaja,Bukowina Tatrzanska,Bukowina Tatrzańska,Comuna Bukowina Tatrzanska,Comuna Bukowina Tatrzańska,Comuna de Bukowina Tatrzanska,Comuna de Bukowina Tatrzańska,Gmina Bukovina-Tatshans'ka,Gmina Bukowina Tatrzanska,Gmina Bukowina Tatrzańska,Буковина-Татшаньская,Ґміна Буковіна-Татшанська",49.3199,20.09877,A,ADM3,PL,,77.0,1217.0,121703.0,,13290,,948,Europe/Warsaw,2018-08-21
7531137,Jeleśnia,Jelesnia,"Comuna de Jelesnia,Comuna de Jeleśnia,Elesnja,Gmina Elesnja,Gmina Jelesnia,Gmina Jeleśnia,Jelesnia,Jeleśnia,Елесня,Ґміна Єлесня",49.61302,19.34765,A,ADM3,PL,,83.0,2417.0,241704.0,,13353,,581,Europe/Warsaw,2018-08-21
7531138,Sobków,Sobkow,"Comuna de Sobkow,Comuna de Sobków,Gmina Sobkow,Gmina Sobkuv,Gmina Sobków,Sobkow,Sobkuv,Sobków,Собкув,Ґміна Собкув",50.71183,20.44099,A,ADM3,PL,,84.0,2602.0,260208.0,,8533,,203,Europe/Warsaw,2018-08-21
7531139,Lipusz,Lipusz,"Comuna de Lipus,Gmina Lepusz,Gmina Lipush,Gmina Lipusz,Gmina Lëpùsz,Lipush,Lipusz,Липуш,Ґміна Ліпуш",54.09871,17.78541,A,ADM3,PL,,82.0,2206.0,220606.0,,3723,,148,Europe/Warsaw,2018-08-21
7531140,Kobylanka,Kobylanka,"Comuna de Kobylanka,Gmina Kobiljanka,Gmina Kobylanka,Kobylanka,Kobyljanka,Кобылянка,Ґміна Кобилянка",53.36753,14.86047,A,ADM3,PL,,87.0,3214.0,321406.0,,5390,,19,Europe/Warsaw,2018-08-21
7531141,Oświęcim,Oswiecim,"Oswiecim,Oświęcim",50.01438,19.24364,A,ADM3,PL,,77.0,1213.0,121306.0,,18325,,245,Europe/Warsaw,2018-08-21
7531142,Karnice,Karnice,Karnice,54.02726,15.0813,A,ADM3,PL,,87.0,3205.0,320503.0,,4058,,12,Europe/Warsaw,2018-08-21
7531143,Liw,Liw,Liw,52.39461,21.9521,A,ADM3,PL,,78.0,1433.0,143304.0,,7462,,129,Europe/Warsaw,2018-08-21
7531144,Miłki,Milki,"Comuna de Milki,Comuna de Miłki,Gmina Milki,Gmina Miłki,Milki,Miłki,Милки,Ґміна Мілкі",53.93077,21.82457,A,ADM3,PL,,85.0,2806.0,280606.0,,3808,,138,Europe/Warsaw,2018-08-21
7531145,Rokiciny,Rokiciny,Rokiciny,51.65093,19.80169,A,ADM3,PL,,74.0,1016.0,101607.0,,6173,,197,Europe/Warsaw,2018-08-21
7531146,Krzęcin,Krzecin,"Krzecin,Krzęcin",53.06027,15.49102,A,ADM3,PL,,87.0,3202.0,320204.0,,3775,,84,Europe/Warsaw,2018-08-21
7531147,Kętrzyn,Ketrzyn,"Ketrzyn,Kętrzyn",54.08232,21.37496,A,ADM3,PL,,85.0,2808.0,280801.0,,27478,,104,Europe/Warsaw,2018-08-21
7531148,Wróblew,Wroblew,"Wroblew,Wróblew",51.60008,18.58918,A,ADM3,PL,,74.0,1014.0,101410.0,,6113,,156,Europe/Warsaw,2018-08-21
7531149,Ryczywół,Ryczywol,"Ryczywol,Ryczywół",52.79901,16.81325,A,ADM3,PL,,86.0,3016.0,301603.0,,7379,,76,Europe/Warsaw,2018-08-21
7531150,Szydłowo,Szydlowo,"Szydlowo,Szydłowo",53.20264,16.60608,A,ADM3,PL,,86.0,3019.0,301906.0,,8983,,140,Europe/Warsaw,2018-08-21
